reference,design_weight,threshold,question_1_ar,question_1_pv,question_1_apv,question_1_sf,question_1_s,question_1_pm,final_score,selective_editing_marker
49900001,20,1.9,658,607.0,424,800000,0.1275,True,0.1275,True
49900002,20,1.9,656,390.0,259,800000,0.665,True,0.665,True
49900003,20,1.9,997,773.0,912,800000,0.56,True,0.56,True
49900004,20,1.9,676,481.0,334,800000,0.4875,True,0.4875,True
49900005,20,1.9,632,871.0,684,800000,0.5975,True,0.5975,True
49900006,20,1.9,985,345.0,312,800000,1.6,True,1.6,True
49900007,20,1.9,468,963.0,773,800000,1.2375,True,1.2375,True
49900008,20,1.9,772,733.0,833,800000,0.0975,True,0.0975,True
49900009,20,1.9,621,673.0,898,800000,0.13,True,0.13,True
49900010,20,1.9,736,377.0,646,800000,0.8975,True,0.8975,True
49900011,20,1.9,736,,377,800000,0.8975,False,0.8975,True
